logf, logr, word
2.079442, 4.682131, "five"
2.079442, 4.682131, "feel"
2.079442, 4.682131, "fee"
2.079442, 4.682131, "fact"
2.079442, 4.682131, "exactly"
2.079442, 4.682131, "everybody"
2.079442, 4.682131, "eagerly"
2.079442, 4.682131, "dry"
2.079442, 4.682131, "domain"
2.079442, 4.682131, "days"
2.079442, 4.682131, "changed"
2.079442, 4.682131, "business"
2.079442, 4.682131, "beg"
2.079442, 4.682131, "associated"
2.079442, 4.682131, "asleep"
2.079442, 4.682131, "appeared"
2.079442, 4.682131, "adventures"
1.945910, 4.691348, "writing"
1.945910, 4.691348, "world"
1.945910, 4.691348, "wood"
1.945910, 4.691348, "wondering"
1.945910, 4.691348, "william"
1.945910, 4.691348, "understand"
1.945910, 4.691348, "trial"
1.945910, 4.691348, "trees"
1.945910, 4.691348, "tired"
1.945910, 4.691348, "tarts"
1.945910, 4.691348, "surprised"
1.945910, 4.691348, "subject"
1.945910, 4.691348, "stood"
1.945910, 4.691348, "soooop"
1.945910, 4.691348, "song"
1.945910, 4.691348, "somebody"
1.945910, 4.691348, "slates"
1.945910, 4.691348, "sir"
1.945910, 4.691348, "silent"
1.945910, 4.691348, "shoes"
1.945910, 4.691348, "shes"
1.945910, 4.691348, "section"
1.945910, 4.691348, "repeat"
1.945910, 4.691348, "provide"
1.945910, 4.691348, "pleased"
1.945910, 4.691348, "permission"
1.945910, 4.691348, "pepper"
1.945910, 4.691348, "outside"
1.945910, 4.691348, "open"
1.945910, 4.691348, "nonsense"
1.945910, 4.691348, "neck"
1.945910, 4.691348, "myself"
1.945910, 4.691348, "middle"
1.945910, 4.691348, "means"
1.945910, 4.691348, "manage"
1.945910, 4.691348, "lory"
1.945910, 4.691348, "lobsters"
1.945910, 4.691348, "lobster"
1.945910, 4.691348, "listen"
1.945910, 4.691348, "larger"
1.945910, 4.691348, "isnt"
1.945910, 4.691348, "history"
1.945910, 4.691348, "hedgehog"
1.945910, 4.691348, "happened"
1.945910, 4.691348, "hair"
1.945910, 4.691348, "grown"
1.945910, 4.691348, "golden"
1.945910, 4.691348, "goes"
1.945910, 4.691348, "generally"
1.945910, 4.691348, "frightened"
1.945910, 4.691348, "fetch"
1.945910, 4.691348, "feeling"
1.945910, 4.691348, "fall"
1.945910, 4.691348, "eye"
1.945910, 4.691348, "except"
1.945910, 4.691348, "evidence"
1.945910, 4.691348, "ebooks"
1.945910, 4.691348, "drink"
1.945910, 4.691348, "dream"
1.945910, 4.691348, "draw"
1.945910, 4.691348, "distributing"
1.945910, 4.691348, "distance"
1.945910, 4.691348, "deep"
1.945910, 4.691348, "copies"
1.945910, 4.691348, "chin"
1.945910, 4.691348, "cheshire"
1.945910, 4.691348, "bright"
1.945910, 4.691348, "book"
1.945910, 4.691348, "begun"
1.945910, 4.691348, "almost"
1.791759, 4.700480, "youve"
1.791759, 4.700480, "youth"
1.791759, 4.700480, "youll"
1.791759, 4.700480, "write"
1.791759, 4.700480, "wow"
1.791759, 4.700480, "web"
1.791759, 4.700480, "volunteers"
1.791759, 4.700480, "using"
1.791759, 4.700480, "unless"
1.791759, 4.700480, "trouble"
1.791759, 4.700480, "trembling"
1.791759, 4.700480, "told"
1.791759, 4.700480, "times"
1.791759, 4.700480, "ten"
1.791759, 4.700480, "tax"
1.791759, 4.700480, "stupid"
1.791759, 4.700480, "stop"
1.791759, 4.700480, "state"
1.791759, 4.700480, "stand"
1.791759, 4.700480, "sneezing"
1.791759, 4.700480, "sleep"
1.791759, 4.700480, "sing"
1.791759, 4.700480, "sharp"
1.791759, 4.700480, "shant"
1.791759, 4.700480, "seven"
1.791759, 4.700480, "second"
1.791759, 4.700480, "roof"
1.791759, 4.700480, "received"
1.791759, 4.700480, "puppy"
1.791759, 4.700480, "politely"
1.791759, 4.700480, "part"
1.791759, 4.700480, "pardon"
1.791759, 4.700480, "paid"
1.791759, 4.700480, "often"
1.791759, 4.700480, "nice"
1.791759, 4.700480, "melancholy"
1.791759, 4.700480, "loud"
1.791759, 4.700480, "liked"
1.791759, 4.700480, "leaves"
1.791759, 4.700480, "late"
1.791759, 4.700480, "jumped"
1.791759, 4.700480, "inches"
1.791759, 4.700480, "important"
1.791759, 4.700480, "himself"
1.791759, 4.700480, "grin"
1.791759, 4.700480, "general"
1.791759, 4.700480, "four"
1.791759, 4.700480, "forgotten"
1.791759, 4.700480, "fell"
1.791759, 4.700480, "father"
1.791759, 4.700480, "executed"
1.791759, 4.700480, "exclaimed"
1.791759, 4.700480, "english"
1.791759, 4.700480, "editions"
1.791759, 4.700480, "ear"
1.791759, 4.700480, "dreadfully"
1.791759, 4.700480, "distribution"
1.791759, 4.700480, "distribute"
1.791759, 4.700480, "croquet"
1.791759, 4.700480, "comply"
1.791759, 4.700480, "chorus"
1.791759, 4.700480, "charge"
1.791759, 4.700480, "broken"
1.791759, 4.700480, "breadandbutter"
1.791759, 4.700480, "between"
1.791759, 4.700480, "below"
1.791759, 4.700480, "arms"
1.609438, 4.709530, "young"
1.609438, 4.709530, "wrong"
1.609438, 4.709530, "wonderland"
1.609438, 4.709530, "within"
1.609438, 4.709530, "whispered"
1.609438, 4.709530, "whats"
1.609438, 4.709530, "waving"
1.609438, 4.709530, "walking"
1.609438, 4.709530, "walk"
1.609438, 4.709530, "usual"
1.609438, 4.709530, "until"
1.609438, 4.709530, "twice"
1.609438, 4.709530, "tree"
1.609438, 4.709530, "treacle"
1.609438, 4.709530, "tis"
1.609438, 4.709530, "temper"
1.609438, 4.709530, "taking"
1.609438, 4.709530, "swim"
1.609438, 4.709530, "swam"
1.609438, 4.709530, "surprise"
1.609438, 4.709530, "sudden"
1.609438, 4.709530, "strange"
1.609438, 4.709530, "stay"
1.609438, 4.709530, "speaking"
1.609438, 4.709530, "sounded"
1.609438, 4.709530, "sometimes"
1.609438, 4.709530, "sleepy"
1.609438, 4.709530, "simple"
1.609438, 4.709530, "sighed"
1.609438, 4.709530, "shut"
1.609438, 4.709530, "shrill"
1.609438, 4.709530, "shriek"
1.609438, 4.709530, "shouldnt"
1.609438, 4.709530, "several"
1.609438, 4.709530, "seems"
1.609438, 4.709530, "school"
1.609438, 4.709530, "sadly"
1.609438, 4.709530, "rules"
1.609438, 4.709530, "rule"
1.609438, 4.709530, "reply"
1.609438, 4.709530, "replacement"
1.609438, 4.709530, "remembered"
1.609438, 4.709530, "quietly"
1.609438, 4.709530, "procession"
1.609438, 4.709530, "prizes"
1.609438, 4.709530, "posted"
1.609438, 4.709530, "pocket"
1.609438, 4.709530, "piece"
1.609438, 4.709530, "passed"
1.609438, 4.709530, "particular"
1.609438, 4.709530, "paper"
1.609438, 4.709530, "pair"
1.609438, 4.709530, "pack"
1.609438, 4.709530, "owner"
1.609438, 4.709530, "nine"
1.609438, 4.709530, "nervous"
1.609438, 4.709530, "nearer"
1.609438, 4.709530, "moved"
1.609438, 4.709530, "morning"
1.609438, 4.709530, "medium"
1.609438, 4.709530, "meant"
1.609438, 4.709530, "man"
1.609438, 4.709530, "lizard"
1.609438, 4.709530, "limited"
1.609438, 4.709530, "likely"
1.609438, 4.709530, "lets"
1.609438, 4.709530, "knee"
1.609438, 4.709530, "kid"
1.609438, 4.709530, "jurymen"
1.609438, 4.709530, "interesting"
1.609438, 4.709530, "instantly"
1.609438, 4.709530, "impatiently"
1.609438, 4.709530, "hot"
1.609438, 4.709530, "hookah"
1.609438, 4.709530, "home"
1.609438, 4.709530, "height"
1.609438, 4.709530, "happens"
1.609438, 4.709530, "form"
1.609438, 4.709530, "flamingo"
1.609438, 4.709530, "finish"
1.609438, 4.709530, "finger"
1.609438, 4.709530, "fancy"
1.609438, 4.709530, "faces"
1.609438, 4.709530, "executioner"
1.609438, 4.709530, "eggs"
1.609438, 4.709530, "ebook"
1.609438, 4.709530, "ears"
1.609438, 4.709530, "dropped"
1.609438, 4.709530, "drew"
1.609438, 4.709530, "doing"
1.609438, 4.709530, "direction"
1.609438, 4.709530, "dare"
1.609438, 4.709530, "cut"
1.609438, 4.709530, "curiosity"
1.609438, 4.709530, "crowded"
1.609438, 4.709530, "confusion"
1.609438, 4.709530, "compliance"
1.609438, 4.709530, "chimney"
1.609438, 4.709530, "certain"
1.609438, 4.709530, "cause"
1.609438, 4.709530, "case"
1.609438, 4.709530, "cannot"
1.609438, 4.709530, "become"
1.609438, 4.709530, "asking"
1.609438, 4.709530, "animals"
1.609438, 4.709530, "angry"
1.609438, 4.709530, "altogether"
1.609438, 4.709530, "aloud"
1.609438, 4.709530, "along"
1.609438, 4.709530, "alone"
1.609438, 4.709530, "ah"
1.609438, 4.709530, "across"
1.609438, 4.709530, "1e1"
1.386294, 4.718499, "yer"
1.386294, 4.718499, "worth"
1.386294, 4.718499, "water"
1.386294, 4.718499, "wanted"
1.386294, 4.718499, "violently"
1.386294, 4.718499, "verses"
1.386294, 4.718499, "verse"
1.386294, 4.718499, "ventured"
1.386294, 4.718499, "vanished"
1.386294, 4.718499, "uncomfortable"
1.386294, 4.718499, "twinkling"
1.386294, 4.718499, "twelve"
1.386294, 4.718499, "turtles"
1.386294, 4.718499, "true"
1.386294, 4.718499, "trials"
1.386294, 4.718499, "tongue"
1.386294, 4.718499, "today"
1.386294, 4.718499, "tiny"
1.386294, 4.718499, "thoughtfully"
1.386294, 4.718499, "thimble"
1.386294, 4.718499, "theyll"
1.386294, 4.718499, "theyd"
1.386294, 4.718499, "thank"
1.386294, 4.718499, "taught"
1.386294, 4.718499, "tale"
1.386294, 4.718499, "taken"
